name,type,value
`PRIMER_MASK_FAILURE_RATE <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MASK_FAILURE_RATE>`_,<class 'float'>,0.1
`PRIMER_WT_MASK_FAILURE_RATE <http://primer3.ut.ee/primer3web_help.htm#PRIMER_WT_MASK_FAILURE_RATE>`_,<class 'float'>,0.0
`PRIMER_MASK_5P_DIRECTION <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MASK_5P_DIRECTION>`_,<class 'int'>,1
`PRIMER_MASK_3P_DIRECTION <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MASK_3P_DIRECTION>`_,<class 'int'>,0
`PRIMER_MASK_KMERLIST_PATH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MASK_KMERLIST_PATH>`_,<class 'str'>,../kmer_lists/
`PRIMER_MASK_KMERLIST_PREFIX <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MASK_KMERLIST_PREFIX>`_,<class 'str'>,homo_sapiens
`PRIMER_MIN_QUALITY <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MIN_QUALITY>`_,<class 'int'>,0
`PRIMER_INTERNAL_MIN_QUALITY <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_MIN_QUALITY>`_,<class 'int'>,0
`PRIMER_MIN_END_QUALITY <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MIN_END_QUALITY>`_,<class 'int'>,0
`PRIMER_QUALITY_RANGE_MIN <http://primer3.ut.ee/primer3web_help.htm#PRIMER_QUALITY_RANGE_MIN>`_,<class 'int'>,0
`PRIMER_QUALITY_RANGE_MAX <http://primer3.ut.ee/primer3web_help.htm#PRIMER_QUALITY_RANGE_MAX>`_,<class 'int'>,100
`PRIMER_WT_SEQ_QUAL <http://primer3.ut.ee/primer3web_help.htm#PRIMER_WT_SEQ_QUAL>`_,<class 'float'>,0.0
`PRIMER_INTERNAL_WT_SEQ_QUAL <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_WT_SEQ_QUAL>`_,<class 'float'>,0.0
`PRIMER_PAIR_WT_PR_PENALTY <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PAIR_WT_PR_PENALTY>`_,<class 'float'>,1.0
`PRIMER_PAIR_WT_IO_PENALTY <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PAIR_WT_IO_PENALTY>`_,<class 'float'>,0.0
`PRIMER_INSIDE_PENALTY <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INSIDE_PENALTY>`_,<class 'float'>,-1.0
`PRIMER_OUTSIDE_PENALTY <http://primer3.ut.ee/primer3web_help.htm#PRIMER_OUTSIDE_PENALTY>`_,<class 'float'>,0.0
`PRIMER_WT_POS_PENALTY <http://primer3.ut.ee/primer3web_help.htm#PRIMER_WT_POS_PENALTY>`_,<class 'float'>,1.0
